system:index,B11,B12,B2,B3,B4,B8,class,.geo
2_20_0,0.47885,0.38645,0.3266,0.3467,0.3444,0.5038,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_21_0,0.38005,0.3176,0.2315,0.2425,0.2425,0.3527,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_22_0,0.4919,0.4744,0.2644,0.3042,0.3304,0.4382,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_23_0,0.4351,0.3494,0.3016,0.3282,0.3152,0.4568,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_24_0,0.4603,0.39035,0.3038,0.307,0.3063,0.4454,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_25_0,0.403,0.3489,0.3398,0.3658,0.3634,0.3592,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_26_0,0.5018,0.4136,0.4792,0.4624,0.442,0.564,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_27_0,0.63445,0.52795,0.7557,0.7268,0.6718,0.8162,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_28_0,0.39835,0.3352,0.2216,0.2457,0.2746,0.303,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_29_0,0.38775,0.37635,0.1695,0.2039,0.2263,0.3351,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_30_0,0.44385,0.36865,0.2489,0.2977,0.3087,0.4424,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_31_0,0.46315,0.4213,0.4422,0.4188,0.38335,0.52135,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_32_0,0.4991,0.4254,0.2082,0.2374,0.271,0.3976,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_33_0,0.5307,0.4573,0.5396,0.5164,0.5064,0.6036,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_34_0,0.40105,0.35185,0.2063,0.2584,0.2755,0.35395,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_35_0,0.4482,0.40925,0.1939,0.241,0.2909,0.35435,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_36_0,0.434,0.3606,0.2039,0.2425,0.2687,0.387,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_37_0,0.5423,0.478,0.5756,0.544,0.5388,0.616,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_38_0,0.5185,0.43765,0.4078,0.4225,0.40435,0.5936,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_39_0,0.44275,0.39615,0.20135,0.2511,0.2864,0.38625,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_40_0,0.41725,0.39785,0.20725,0.2507,0.3023,0.36265,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_41_0,0.17255,0.151,0.16125,0.18035,0.16575,0.1634,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_42_0,0.12425,0.12425,0.13165,0.1412,0.12855,0.1188,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_43_0,0.32995,0.2687,0.1894,0.2178,0.2375,0.33405,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_44_0,0.39975,0.33925,0.3194,0.3126,0.2898,0.41385,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_45_0,0.2135,0.2048,0.2282,0.227,0.2154,0.2078,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_46_0,0.4628,0.4064,0.17,0.207,0.2372,0.3552,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_47_0,0.44005,0.328,0.1955,0.2632,0.3166,0.3839,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_48_0,0.4137,0.36625,0.2075,0.2482,0.273,0.3865,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_49_0,0.555,0.4696,0.4452,0.4464,0.4432,0.5792,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_50_0,0.7242,0.6042,0.608,0.6084,0.5972,0.7312,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_51_0,0.4075,0.3599,0.2381,0.2768,0.3251,0.3413,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_52_0,0.5375,0.4766,0.54,0.5076,0.4964,0.6024,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_53_0,0.4077,0.3827,0.22075,0.2526,0.3091,0.3064,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_54_0,0.44035,0.38815,0.2934,0.3103,0.3056,0.4424,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_55_0,0.5693,0.5003,0.5826,0.55675,0.5228,0.66875,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_56_0,0.5469,0.4993,0.54,0.522,0.508,0.6104,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_57_0,0.44025,0.3952,0.191,0.227,0.2735,0.3518,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_58_0,0.2208,0.2167,0.2316,0.2376,0.2288,0.213,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_59_0,0.66295,0.58415,0.8597,0.7814,0.749,0.7792,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_60_0,0.64235,0.591,0.5381,0.529,0.5366,0.60145,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_61_0,0.4126,0.3669,0.3548,0.343,0.3292,0.4584,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_62_0,0.4513,0.3814,0.3752,0.3852,0.364,0.508,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_63_0,0.1735,0.14965,0.1528,0.1858,0.196,0.17285,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_64_0,0.50075,0.402,0.55345,0.51405,0.4618,0.65035,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_65_0,0.4928,0.4656,0.2388,0.2646,0.2968,0.3818,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_66_0,0.2706,0.22055,0.1378,0.1538,0.16255,0.2387,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_67_0,0.42835,0.33685,0.18225,0.2073,0.2457,0.3392,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_68_0,0.46035,0.404,0.1861,0.2155,0.2434,0.3632,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_69_0,0.13725,0.1417,0.1349,0.1438,0.1358,0.1294,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_70_0,0.2914,0.2232,0.2566,0.2554,0.2472,0.3088,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_71_0,0.4589,0.4115,0.4572,0.4444,0.4168,0.5496,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_72_0,0.50485,0.42925,0.47925,0.4562,0.4315,0.60295,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_73_0,0.5518,0.5023,0.538,0.534,0.5312,0.6116,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_74_0,0.4186,0.3611,0.4176,0.3832,0.3576,0.4876,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_75_0,0.5303,0.4453,0.5219,0.5136,0.4947,0.6588,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_76_0,0.5227,0.45505,0.441,0.4318,0.3961,0.57245,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_77_0,0.459,0.3878,0.308,0.3326,0.3366,0.4864,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_78_0,0.4739,0.4272,0.19505,0.2463,0.2951,0.3556,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_79_0,0.12115,0.1201,0.1279,0.13235,0.1206,0.11615,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_80_0,0.5585,0.4808,0.5796,0.5678,0.5532,0.61855,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_81_0,0.42085,0.3602,0.1962,0.2382,0.2665,0.3525,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_82_0,0.4703,0.4159,0.1959,0.2288,0.2635,0.3813,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_83_0,0.4983,0.4467,0.4948,0.4788,0.4648,0.5552,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_84_0,0.47655,0.4373,0.2478,0.2954,0.3482,0.3894,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_85_0,0.3728,0.3174,0.1715,0.2014,0.2424,0.3242,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_86_0,0.2545,0.2465,0.2636,0.2752,0.2598,0.2336,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_87_0,0.541,0.4524,0.5108,0.4988,0.496,0.5888,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_88_0,0.4494,0.3927,0.2116,0.2354,0.2726,0.3614,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_89_0,0.2129,0.1771,0.1622,0.1827,0.18,0.2038,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_90_0,0.452,0.3463,0.2167,0.2453,0.2775,0.3852,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_91_0,0.2267,0.2254,0.2356,0.239,0.235,0.1995,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_92_0,0.1961,0.18345,0.1919,0.20045,0.19545,0.15945,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_93_0,0.3904,0.31835,0.2326,0.253,0.2518,0.36635,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_94_0,0.6095,0.50775,0.66435,0.6318,0.58595,0.7268,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_95_0,0.25465,0.20885,0.2184,0.3,0.3375,0.3661,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_96_0,0.56005,0.50045,0.5671,0.5454,0.5204,0.6009,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_97_0,0.4257,0.3523,0.3618,0.3662,0.368,0.4636,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_98_0,0.38835,0.3358,0.1808,0.2145,0.2348,0.3466,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_99_0,0.3867,0.3672,0.23185,0.2677,0.2897,0.36795,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_100_0,0.5967,0.5179,0.5798,0.564,0.53345,0.67995,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_101_0,0.4562,0.4189,0.1803,0.2048,0.256,0.3324,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_102_0,0.3878,0.3175,0.2616,0.2922,0.3072,0.4396,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_103_0,0.4098,0.3625,0.2654,0.2737,0.2801,0.3887,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_104_0,0.41005,0.35405,0.2213,0.2608,0.2902,0.40575,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_105_0,0.1723,0.16715,0.17865,0.1829,0.1718,0.13185,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_106_0,0.227,0.2244,0.2388,0.2452,0.2394,0.1985,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_107_0,0.4134,0.3545,0.17345,0.2045,0.2601,0.32345,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_108_0,0.6344,0.5459,0.4884,0.522,0.5372,0.6204,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_109_0,0.2185,0.2169,0.2202,0.2354,0.2256,0.1916,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_110_0,0.4303,0.3627,0.3836,0.3702,0.3432,0.5056,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_111_0,0.5793,0.49765,0.5582,0.5403,0.5289,0.6229,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_112_0,0.5702,0.5358,0.223,0.2606,0.3098,0.4363,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_113_0,0.2117,0.2049,0.2298,0.2264,0.2206,0.2076,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_114_0,0.4574,0.4104,0.1852,0.2172,0.2568,0.3744,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_115_0,0.6214,0.5387,0.5288,0.4964,0.4696,0.6068,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_116_0,0.1704,0.1404,0.1438,0.1478,0.1394,0.1938,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_117_0,0.50795,0.4331,0.2444,0.2762,0.3102,0.3958,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_118_0,0.74185,0.68795,0.7106,0.6928,0.6862,0.756,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_119_0,0.39075,0.3213,0.20135,0.2354,0.2529,0.3577,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_120_0,0.4445,0.4174,0.4078,0.4084,0.3894,0.524,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_121_0,0.5652,0.4613,0.6124,0.578,0.554,0.6492,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_122_0,0.5622,0.49635,0.37825,0.3925,0.389,0.5374,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_123_0,0.4369,0.3472,0.4052,0.3922,0.371,0.5188,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_124_0,0.5492,0.4464,0.6813,0.62115,0.5813,0.7062,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_125_0,0.5658,0.4769,0.6712,0.5764,0.508,0.6768,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_126_0,0.4279,0.3661,0.1843,0.2214,0.273,0.3602,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_127_0,0.4557,0.4207,0.402,0.39,0.369,0.5296,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_128_0,0.5461,0.4798,0.49885,0.50175,0.4721,0.62115,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_129_0,0.52245,0.42665,0.663,0.6044,0.5508,0.6908,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_130_0,0.2516,0.2397,0.1914,0.2214,0.2462,0.245,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_131_0,0.56055,0.4499,0.6675,0.643,0.60415,0.7504,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_132_0,0.4078,0.3538,0.1984,0.239,0.2686,0.3556,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_133_0,0.44925,0.37745,0.2016,0.2591,0.3236,0.42755,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_134_0,0.489,0.425,0.4912,0.4744,0.45,0.5664,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_135_0,0.3244,0.2919,0.1512,0.1778,0.1864,0.2784,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_136_0,0.38975,0.3457,0.1808,0.19125,0.2112,0.3023,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_137_0,0.46645,0.41805,0.2431,0.2714,0.3017,0.3875,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_138_0,0.23475,0.19725,0.1712,0.1866,0.1806,0.2516,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_139_0,0.4168,0.3993,0.1766,0.1933,0.213,0.303,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_140_0,0.4333,0.3715,0.3984,0.394,0.3822,0.4956,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_141_0,0.4229,0.3249,0.462,0.444,0.401,0.556,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_142_0,0.5788,0.4624,0.5184,0.51,0.492,0.64,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_143_0,0.41045,0.3734,0.20955,0.2454,0.2692,0.34985,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_144_0,0.5278,0.4251,0.5984,0.5624,0.5116,0.6088,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_145_0,0.13945,0.13155,0.1325,0.1398,0.13175,0.11175,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_146_0,0.4418,0.37825,0.2585,0.2911,0.3195,0.4053,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_147_0,0.55225,0.47725,0.1558,0.1733,0.2743,0.3498,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_148_0,0.4415,0.375,0.2152,0.2598,0.2948,0.4356,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_149_0,0.3067,0.2715,0.15515,0.1784,0.2018,0.2922,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_150_0,0.5444,0.451,0.73915,0.6761,0.6262,0.71585,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_151_0,0.46965,0.42375,0.2094,0.2319,0.2515,0.369,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_152_0,0.1715,0.16315,0.1749,0.18335,0.17405,0.15555,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_153_0,0.4676,0.37575,0.49495,0.4652,0.4237,0.61595,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_154_0,0.40975,0.3336,0.1906,0.2176,0.2415,0.34485,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_155_0,0.5704,0.4698,0.4656,0.4964,0.4716,0.6208,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_156_0,0.4991,0.4979,0.2242,0.2552,0.3148,0.3736,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_157_0,0.215,0.2109,0.1962,0.2136,0.2122,0.2078,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_158_0,0.4071,0.367,0.3352,0.343,0.3216,0.472,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_159_0,0.3994,0.35145,0.2142,0.2398,0.2821,0.33495,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_160_0,0.2617,0.2472,0.2704,0.3082,0.2974,0.2572,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_161_0,0.44,0.3526,0.4732,0.4296,0.3858,0.5396,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_162_0,0.2043,0.2038,0.2324,0.2498,0.2232,0.1822,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_163_0,0.26,0.2055,0.1888,0.1878,0.1934,0.2514,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_164_0,0.17215,0.1636,0.17525,0.18165,0.17575,0.15185,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_165_0,0.5344,0.4705,0.5276,0.5092,0.4896,0.5892,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_166_0,0.5054,0.4191,0.315,0.3764,0.402,0.5464,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_167_0,0.5502,0.4962,0.5256,0.5104,0.486,0.6068,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_168_0,0.5976,0.5316,0.7108,0.6768,0.644,0.7032,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_169_0,0.5351,0.4742,0.2186,0.2504,0.277,0.4044,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_170_0,0.4479,0.3602,0.2126,0.2472,0.2694,0.3996,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_171_0,0.4427,0.42515,0.2109,0.2458,0.3013,0.3382,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_172_0,0.1825,0.1751,0.1937,0.2062,0.1944,0.1756,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_173_0,0.59255,0.4938,0.5861,0.5819,0.5605,0.718,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_174_0,0.4058,0.3382,0.1793,0.2251,0.2709,0.34435,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_175_0,0.4574,0.3937,0.343,0.3564,0.3552,0.5156,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_176_0,0.41135,0.3327,0.2205,0.248,0.2612,0.37285,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_177_0,0.5052,0.4351,0.5004,0.4916,0.4712,0.5832,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_178_0,0.42195,0.38835,0.2246,0.2534,0.3247,0.35045,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_179_0,0.4227,0.3967,0.223,0.2622,0.2836,0.3708,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_180_0,0.4178,0.34985,0.1689,0.2178,0.2781,0.39595,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_181_0,0.57635,0.486,0.4569,0.4674,0.45345,0.609,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_182_0,0.4124,0.3606,0.1646,0.1954,0.2318,0.341,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_183_0,0.4116,0.3956,0.2142,0.2432,0.2776,0.3118,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_184_0,0.5185,0.41105,0.32155,0.3419,0.3687,0.5049,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_185_0,0.5523,0.4044,0.5248,0.5,0.4716,0.658,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_186_0,0.2099,0.2074,0.238,0.2358,0.2208,0.169,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_187_0,0.4832,0.4074,0.4544,0.4432,0.4332,0.5372,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_188_0,0.5336,0.5046,0.2226,0.2534,0.3004,0.4042,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_189_0,0.4614,0.414,0.16855,0.20175,0.2357,0.3461,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_190_0,0.2159,0.2115,0.2078,0.22,0.212,0.2028,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_191_0,0.51735,0.4383,0.4713,0.4653,0.43275,0.611,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_192_0,0.695,0.6131,0.8656,0.7724,0.6976,0.7724,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_193_0,0.2103,0.19995,0.21355,0.2201,0.215,0.1993,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_194_0,0.48295,0.42545,0.41395,0.41235,0.3852,0.5334,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_195_0,0.4918,0.45465,0.2045,0.2342,0.2646,0.374,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_196_0,0.3859,0.33415,0.18865,0.2153,0.2408,0.3312,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_197_0,0.37765,0.3441,0.1985,0.2265,0.2419,0.298,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_198_0,0.5657,0.4928,0.3376,0.4148,0.454,0.5076,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_199_0,0.5176,0.4563,0.4944,0.494,0.4708,0.5936,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_200_0,0.4225,0.3328,0.2084,0.2526,0.278,0.36615,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_201_0,0.4795,0.4603,0.2026,0.2434,0.3146,0.369,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_202_0,0.4633,0.4067,0.1788,0.2118,0.2532,0.372,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_203_0,0.4044,0.34505,0.1892,0.2186,0.2539,0.3581,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_204_0,0.5036,0.4088,0.1835,0.2346,0.3244,0.3862,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_205_0,0.41865,0.37055,0.1955,0.2179,0.2679,0.32505,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_206_0,0.2164,0.2144,0.1936,0.2136,0.2132,0.19,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_207_0,0.4257,0.3627,0.2507,0.2895,0.292,0.4058,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_208_0,0.3716,0.3318,0.312,0.2936,0.3022,0.4104,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_209_0,0.4346,0.4194,0.2509,0.286,0.3118,0.34055,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_210_0,0.1206,0.1194,0.1304,0.1372,0.1219,0.1218,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_211_0,0.4022,0.3452,0.216,0.2476,0.281,0.345,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_212_0,0.59035,0.52725,0.633,0.5961,0.5626,0.65755,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_213_0,0.1398,0.1313,0.1484,0.16385,0.15395,0.1217,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_214_0,0.4801,0.4135,0.4448,0.428,0.398,0.5732,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_215_0,0.5046,0.4788,0.1938,0.2294,0.29,0.3652,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_216_0,0.57155,0.48235,0.4788,0.4724,0.4559,0.6156,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_217_0,0.8078,0.7235,0.7524,0.7432,0.762,0.8128,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_218_0,0.5157,0.4537,0.5904,0.548,0.5212,0.6072,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_219_0,0.40765,0.3461,0.1898,0.2335,0.2712,0.3596,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_220_0,0.4652,0.3885,0.3162,0.3271,0.3259,0.46845,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_221_0,0.4007,0.3168,0.265,0.2711,0.29,0.3927,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_222_0,0.6099,0.4811,0.4924,0.4904,0.4732,0.6596,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_223_0,0.50315,0.4377,0.4781,0.4648,0.4436,0.5872,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_224_0,0.4627,0.4223,0.205,0.2548,0.2992,0.4124,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_225_0,0.59875,0.5553,0.469,0.4772,0.4842,0.609,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_226_0,0.2762,0.2319,0.20105,0.2508,0.2633,0.3212,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_227_0,0.415,0.3307,0.1655,0.2046,0.2556,0.3636,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_228_0,0.512,0.4345,0.3844,0.3976,0.4104,0.5444,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_229_0,0.373,0.3044,0.1678,0.1969,0.221,0.3294,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_230_0,0.2134,0.2103,0.2438,0.2466,0.2224,0.2086,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_231_0,0.564,0.4888,0.4376,0.4428,0.44,0.5828,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_232_0,0.39535,0.3526,0.2231,0.2504,0.2749,0.3391,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_233_0,0.62125,0.5297,0.7295,0.6901,0.6624,0.7174,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_234_0,0.45865,0.38305,0.1886,0.2255,0.2587,0.3856,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_235_0,0.58135,0.47705,0.6652,0.6327,0.58405,0.7364,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_236_0,0.3718,0.277,0.1638,0.2133,0.2493,0.3629,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
